Month,Charter,Years,Area,Club,Clubname,City,Membase,Memtdate,Goals,Meetday,Meetfreq,Meettime,Awards,DCPHistory,DCPReport,Clubinfo
Mar,3/1/1991,35,D 33,900085,Club 085,Location 006,9,0,0,Thu,M2,12:00,900085,900085,900085,900085
Jun,6/25/2004,22,D 33,900039,Club 039,Location 006,11,13,3,Tue,M1,18:30,900039,900039,900039,900039
Jun,6/24/2009,17,D 33,900016,Club 016,Location 009,14,16,9,Tue,W1,12:05,900016,900016,900016,900016
Apr,4/1/2011,15,D 33,900065,Club 065,Location 003,23,21,5,Mon,M1,6:45,900065,900065,900065,900065
Aug,8/15/2011,14,D 33,900019,Club 019,Location 003,13,9,2,Wed,W1,12:00,900019,900019,900019,900019
Oct,10/1/2014,11,D 33,900003,Club 003,Location 003,8,0,0,Wed,W1,12:00,900003,900003,900003,900003
May,5/1/1978,48,D 34,900097,Club 097,Location 003,8,6,1,Tue,M2,19:30,900097,900097,900097,900097
Jun,6/1/1985,41,D 34,900010,Club 010,Location 009,17,20,5,Wed,W1,12:00,900010,900010,900010,900010
Jul,7/1/1986,39,D 34,900093,Club 093,Location 003,21,20,6,Sat,W1,9:30,900093,900093,900093,900093
Jun,6/1/1995,31,D 34,900041,Club 041,Location 004,10,10,9,Thu,W1,9:15,900041,900041,900041,900041
Sep,9/30/2005,20,D 34,900098,Club 098,Location 003,11,11,7,Mon,W1,18:30,900098,900098,900098,900098
Jun,6/26/2015,11,D 34,900099,Club 099,Location 034,18,15,1,Thu,W1,12:00,900099,900099,900099,900099
Nov,11/1/1941,84,E 41,900036,Club 036,Location 001,20,17,3,Sat,W1,7:45,900036,900036,900036,900036
Apr,4/1/1962,64,E 41,900100,Club 100,Location 045,11,11,5,Wed,W1,18:30,900100,900100,900100,900100
Mar,3/1/1985,41,E 41,900105,Club 105,Location 046,13,13,1,Thu,W1,11:30,900105,900105,900105,900105
Jun,6/1/1989,37,E 41,900067,Club 067,Location 001,20,20,7,Wed,M2,12:05,900067,900067,900067,900067
Dec,12/18/2007,18,E 41,900104,Club 104,Location 001,8,1,0,Fri,M2,16:00,900104,900104,900104,900104
Mar,3/30/2023,3,E 41,900114,Club 114,Location 047,24,16,2,Thu,M2,12:00,900114,900114,900114,900114
Jun,6/20/2023,3,E 41,900115,Club 115,Location 019,21,17,2,Thu,M2,15:30,900115,900115,900115,900115
Jan,1/1/1979,47,E 42,900073,Club 073,Location 001,15,10,3,Tue,W1,12:00,900073,900073,900073,900073
Jun,6/1/1998,28,E 42,900050,Club 050,Location 001,9,3,4,Thu,M2,12:05,900050,900050,900050,900050
May,5/1/1986,40,E 42,900057,Club 057,Location 001,12,12,0,Wed,W1,12:00,900057,900057,900057,900057
Mar,3/1/1990,36,E 42,900043,Club 043,Location 048,10,9,1,Tue,M2,12:00,900043,900043,900043,900043
Jun,6/1/1997,29,E 42,900081,Club 081,Location 001,11,8,1,Fri,W1,7:00,900081,900081,900081,900081
Feb,2/1/1993,33,E 42,900072,Club 072,Location 001,21,20,7,Sat,M1,9:30,900072,900072,900072,900072
Jun,6/27/2014,12,E 42,900001,Club 001,Location 048,10,3,1,Wed,W1,16:00,900001,900001,900001,900001
Jan,1/7/2002,24,E 43,900017,Club 017,Location 048,8,8,4,Thu,W1,12:00,900017,900017,900017,900017
Mar,3/18/2002,24,E 43,900090,Club 090,Location 001,11,10,3,Thu,W1,12:00,900090,900090,900090,900090
Feb,2/7/2007,19,E 43,900109,Club 109,Location 001,25,0,0,Tue,W1,0:00,900109,900109,900109,900109
Jan,1/7/2013,13,E 43,900012,Club 012,Location 001,10,13,3,Fri,M2,11:00,900012,900012,900012,900012
May,5/1/1946,80,E 44,900047,Club 047,Location 049,10,9,1,Thu,W1,18:00,900047,900047,900047,900047
Sep,9/1/1988,37,E 44,900029,Club 029,Location 001,10,11,5,Wed,M2,12:00,900029,900029,900029,900029
Feb,2/11/2009,17,E 44,900014,Club 014,Location 001,11,5,3,Mon,M3,12:05,900014,900014,900014,900014
Jan,1/16/2019,7,E 44,900089,Club 089,Location 001,12,10,2,Tue,M2,11:30,900089,900089,900089,900089
Feb,2/1/2021,5,E 44,900015,Club 015,Location 001,18,20,10,Wed,M2,19:00,900015,900015,900015,900015
