Month,Charter,Years,Area,Club,Clubname,City,Membase,Memtdate,Goals,Meetday,Meetfreq,Meettime,Awards,DCPHistory,DCPReport,Clubinfo
Jun,6/1/1989,37,D 32,7541,Words-Of-Mouth,Minnetonka,14,10,2,Tue,W1,18:30,7541,7541,7541,7541
Oct,10/1/1990,35,D 33,4953,Noontime Talkers,Hopkins,9,8,2,Wed,M2,12:00,4953,4953,4953,4953
Mar,3/1/1991,35,D 33,5290,Talk Masters,Minneapolis,9,0,0,Thu,M2,12:00,5290,5290,5290,5290
Jun,6/25/2004,22,D 33,691684,Leadership Summit,Minneapolis,11,13,3,Tue,M1,18:30,691684,691684,691684,691684
Jun,6/24/2009,17,D 33,1349520,Crosstown Talkers,Wayzata,14,16,9,Tue,W1,12:05,1349520,1349520,1349520,1349520
Apr,4/1/2011,15,D 33,1746748,PowerTalk,Minnetonka,23,21,5,Mon,M1,6:45,1746748,1746748,1746748,1746748
Aug,8/15/2011,14,D 33,1982188,Data Park Toasters,Minnetonka,13,9,2,Wed,W1,12:00,1982188,1982188,1982188,1982188
Oct,10/1/2014,11,D 33,4237696,Ah Busters,Minnetonka,8,0,0,Wed,W1,12:00,4237696,4237696,4237696,4237696
May,5/1/1978,48,D 34,2119,Tonka Talkers,Minnetonka,8,6,1,Tue,M2,19:30,2119,2119,2119,2119
Jun,6/1/1985,41,D 34,5913,Cargill Trademasters,Wayzata,17,20,5,Wed,W1,12:00,5913,5913,5913,5913
Jul,7/1/1986,39,D 34,6348,TicTalkers,Minnetonka,21,20,6,Sat,W1,9:30,6348,6348,6348,6348
Jun,6/1/1995,31,D 34,7179,Marsh Winds,Eden Prairie,10,10,9,Thu,W1,9:15,7179,7179,7179,7179
Sep,9/30/2005,20,D 34,841690,Tri-Dynamics,Minnetonka,11,11,7,Mon,W1,18:30,841690,841690,841690,841690
Jun,6/26/2015,11,D 34,4340844,Uncommon Speakers,Excelsior,18,15,1,Thu,W1,12:00,4340844,4340844,4340844,4340844
Nov,11/1/1941,84,E 41,208,King Boreas,Saint Paul,20,17,3,Sat,W1,7:45,208,208,208,208
Apr,4/1/1962,64,E 41,591,Vikings,St Paul,11,11,5,Wed,W1,18:30,591,591,591,591
Mar,3/1/1985,41,E 41,5751,Wind Chimes,Maplewood,13,13,1,Thu,W1,11:30,5751,5751,5751,5751
Jun,6/1/1989,37,E 41,7527,Public Employees,Saint Paul,20,20,7,Wed,M2,12:05,7527,7527,7527,7527
Dec,12/18/2007,18,E 41,1120826,Wilder Side,Saint Paul,8,1,0,Fri,M2,16:00,1120826,1120826,1120826,1120826
Mar,3/30/2023,3,E 41,28676066,Just Say It! LPI,West St. Paul,24,16,2,Thu,M2,12:00,28676066,28676066,28676066,28676066
Jun,6/20/2023,3,E 41,28676512,CPC,Arden Hills,21,17,2,Thu,M2,15:30,28676512,28676512,28676512,28676512
Jan,1/1/1979,47,E 42,560,Securian Toastmasters Club 560,Saint Paul,15,10,3,Tue,W1,12:00,560,560,560,560
Jun,6/1/1998,28,E 42,3852,Mutual Voices,Saint Paul,9,3,4,Thu,M2,12:05,3852,3852,3852,3852
May,5/1/1986,40,E 42,4709,Ordway Orators,Saint Paul,12,12,0,Wed,W1,12:00,4709,4709,4709,4709
Mar,3/1/1990,36,E 42,5133,Mears Park,St. Paul,10,9,1,Tue,M2,12:00,5133,5133,5133,5133
Jun,6/1/1997,29,E 42,5886,St. Paul Speakers,Saint Paul,11,8,1,Fri,W1,7:00,5886,5886,5886,5886
Feb,2/1/1993,33,E 42,9196,Saturday Morning Live,Saint Paul,21,20,7,Sat,M1,9:30,9196,9196,9196,9196
Jun,6/27/2014,12,E 42,4043570,3M Verbal Innovators,St. Paul,10,3,1,Wed,W1,16:00,4043570,4043570,4043570,4043570
Jan,1/7/2002,24,E 43,4972,Cultivated,St. Paul,8,8,4,Thu,W1,12:00,4972,4972,4972,4972
Mar,3/18/2002,24,E 43,7507,The Informers,Saint Paul,11,10,3,Thu,W1,12:00,7507,7507,7507,7507
Feb,2/7/2007,19,E 43,999440,Zaj Lus Dragonspeakers,Saint Paul,25,0,0,Tue,W1,0:00,999440,999440,999440,999440
Jan,1/7/2013,13,E 43,2933537,Centennial,Saint Paul,10,13,3,Fri,M2,11:00,2933537,2933537,2933537,2933537
May,5/1/1946,80,E 44,383,Midway,West Saint Paul,10,9,1,Thu,W1,18:00,383,383,383,383
Sep,9/1/1988,37,E 44,7110,Free Speech,Saint Paul,10,11,5,Wed,M2,12:00,7110,7110,7110,7110
Feb,2/11/2009,17,E 44,1274552,Colleen Morse Golden Rule,Saint Paul,11,5,3,Mon,M3,12:05,1274552,1274552,1274552,1274552
Jan,1/16/2019,7,E 44,6610555,Technically Speaking,Saint Paul,12,10,2,Tue,M2,11:30,6610555,6610555,6610555,6610555
Feb,2/1/2021,5,E 44,7841092,Contest Mastery,Saint Paul,18,20,10,Wed,M2,19:00,7841092,7841092,7841092,7841092
